Price,Close,Close,High,Low,Open,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,,
1990-03-01,1832.0,1832.0,1838.0,1827.0,1836.0,0
1990-03-02,1860.0,1860.0,1860.0,1831.0,1831.0,0
1990-03-05,1874.0,1874.0,1874.0,1862.0,1866.0,0
1990-03-06,1872.0,1872.0,1875.0,1866.0,1869.0,0
1990-03-07,1880.0,1880.0,1881.0,1874.0,1874.0,0
1990-03-08,1917.0,1917.0,1923.0,1891.0,1891.0,0
1990-03-09,1921.0,1921.0,1941.0,1921.0,1936.0,0
1990-03-12,1912.0,1912.0,1918.0,1912.0,1917.0,0
1990-03-13,1924.0,1924.0,1924.0,1924.0,1924.0,0
1990-03-14,1946.0,1946.0,1946.0,1919.0,1919.0,0
1990-03-15,1964.0,1964.0,1967.0,1950.0,1966.0,0
1990-03-16,1958.0,1958.0,1967.0,1952.0,1963.0,0
1990-03-19,1936.0,1936.0,1953.0,1931.0,1950.0,0
1990-03-20,1925.0,1925.0,1941.0,1922.0,1934.0,0
1990-03-21,1938.0,1938.0,1940.0,1924.0,1926.0,0
1990-03-22,1914.0,1914.0,1931.0,1910.0,1918.0,0
1990-03-23,1937.0,1937.0,1944.0,1923.0,1924.0,0
1990-03-26,1964.0,1964.0,1967.0,1948.0,1948.0,0
1990-03-27,1946.0,1946.0,1959.0,1944.0,1956.0,0
1990-03-28,1939.0,1939.0,1948.0,1931.0,1944.0,0
1990-03-29,1947.0,1947.0,1953.0,1940.0,1944.0,0
1990-03-30,1972.0,1972.0,1975.0,1943.0,1943.0,0
1990-04-02,1947.0,1947.0,1962.0,1937.0,1951.0,0
1990-04-03,1985.0,1985.0,1990.0,1953.0,1953.0,0
1990-04-04,2001.0,2001.0,2014.0,1994.0,1997.0,0
1990-04-05,2028.0,2028.0,2034.0,1997.0,2004.0,0
1990-04-06,2070.0,2070.0,2081.0,2053.0,2054.0,0
1990-04-09,2083.0,2083.0,2086.0,2063.0,2076.0,0
1990-04-10,2075.0,2075.0,2079.0,2065.0,2076.0,0
1990-04-11,2103.0,2103.0,2107.0,2072.0,2074.0,0
1990-04-12,2117.0,2117.0,2117.0,2096.0,2105.0,0
1990-04-17,2126.0,2126.0,2141.0,2117.0,2122.0,0
1990-04-18,2098.0,2098.0,2128.0,2096.0,2128.0,0
1990-04-19,2097.0,2097.0,2102.0,2072.0,2073.0,0
1990-04-20,2129.0,2129.0,2131.0,2100.0,2101.0,0
1990-04-23,2090.0,2090.0,2138.0,2084.0,2126.0,0
1990-04-24,2101.0,2101.0,2109.0,2082.0,2082.0,0
1990-04-25,2092.0,2092.0,2114.0,2091.0,2104.0,0
1990-04-26,2072.0,2072.0,2108.0,2067.0,2100.0,0
1990-04-27,2066.0,2066.0,2080.0,2054.0,2080.0,0
1990-04-30,2046.0,2046.0,2057.0,2032.0,2057.0,0
1990-05-02,2066.0,2066.0,2073.0,2048.0,2056.0,0
1990-05-03,2099.0,2099.0,2104.0,2081.0,2085.0,0
1990-05-04,2099.0,2099.0,2116.0,2096.0,2108.0,0
1990-05-07,2120.0,2120.0,2122.0,2103.0,2111.0,0
1990-05-09,2103.0,2103.0,2134.0,2103.0,2133.0,0
1990-05-10,2104.0,2104.0,2106.0,2089.0,2104.0,0
1990-05-11,2092.0,2092.0,2102.0,2081.0,2089.0,0
1990-05-14,2090.0,2090.0,2099.0,2083.0,2099.0,0
1990-05-15,2070.0,2070.0,2088.0,2064.0,2088.0,0
1990-05-16,2071.0,2071.0,2080.0,2057.0,2068.0,0
1990-05-17,2104.0,2104.0,2105.0,2069.0,2069.0,0
1990-05-18,2100.0,2100.0,2120.0,2096.0,2110.0,0
1990-05-21,2092.0,2092.0,2094.0,2075.0,2083.0,0
1990-05-22,2115.0,2115.0,2117.0,2093.0,2094.0,0
1990-05-23,2123.0,2123.0,2141.0,2117.0,2136.0,0
1990-05-25,2112.0,2112.0,2124.0,2110.0,2124.0,0
1990-05-28,2114.0,2114.0,2116.0,2093.0,2098.0,0
1990-05-29,2123.0,2123.0,2125.0,2107.0,2109.0,0
1990-05-30,2121.0,2121.0,2140.0,2116.0,2135.0,0
1990-05-31,2107.0,2107.0,2121.0,2094.0,2120.0,0
1990-06-01,2087.0,2087.0,2102.0,2083.0,2102.0,0
1990-06-05,2069.0,2069.0,2091.0,2065.0,2090.0,0
1990-06-06,2045.0,2045.0,2068.0,2041.0,2057.0,0
1990-06-07,2045.0,2045.0,2059.0,2045.0,2046.0,0
1990-06-08,2021.0,2021.0,2050.0,2016.0,2045.0,0
1990-06-11,2001.0,2001.0,2010.0,1988.0,1998.0,0
1990-06-12,2006.0,2006.0,2012.0,1998.0,2009.0,0
1990-06-13,2026.0,2026.0,2034.0,2011.0,2022.0,0
1990-06-14,2028.0,2028.0,2035.0,2021.0,2034.0,0
1990-06-15,2012.0,2012.0,2029.0,2009.0,2025.0,0
1990-06-18,1988.0,1988.0,2012.0,1987.0,2008.0,0
1990-06-19,2000.0,2000.0,2003.0,1972.0,1972.0,0
1990-06-20,2004.0,2004.0,2009.0,1999.0,2002.0,0
1990-06-21,2008.0,2008.0,2017.0,2003.0,2004.0,0
1990-06-22,2032.0,2032.0,2037.0,2023.0,2032.0,0
1990-06-25,2040.0,2040.0,2045.0,2025.0,2034.0,0
1990-06-26,2053.0,2053.0,2056.0,2040.0,2044.0,0
1990-06-27,2034.0,2034.0,2059.0,2031.0,2048.0,0
1990-06-28,2038.0,2038.0,2053.0,2029.0,2036.0,0
1990-06-29,2035.0,2035.0,2050.0,2019.0,2039.0,0
1990-07-02,2035.0,2035.0,2035.0,2024.0,2025.0,0
1990-07-03,2031.0,2031.0,2046.0,2029.0,2034.0,0
1990-07-04,2032.0,2032.0,2032.0,2013.0,2027.0,0
1990-07-05,2000.0,2000.0,2016.0,1987.0,2016.0,0
1990-07-06,2002.0,2002.0,2002.0,1989.0,1990.0,0
1990-07-09,2002.0,2002.0,2009.0,1989.0,2005.0,0
1990-07-10,1963.0,1963.0,1986.0,1957.0,1985.0,0
1990-07-11,1970.0,1970.0,1975.0,1950.0,1953.0,0
1990-07-12,1975.0,1975.0,1983.0,1972.0,1979.0,0
1990-07-13,1998.0,1998.0,2002.0,1984.0,1989.0,0
1990-07-16,2015.0,2015.0,2016.0,1998.0,2001.0,0
1990-07-17,2019.0,2019.0,2025.0,2015.0,2024.0,0
1990-07-18,2029.0,2029.0,2036.0,2023.0,2023.0,0
1990-07-19,2023.0,2023.0,2030.0,2021.0,2028.0,0
1990-07-20,2031.0,2031.0,2031.0,2017.0,2025.0,0
1990-07-23,1990.0,1990.0,2026.0,1970.0,2021.0,0
1990-07-24,1995.0,1995.0,2000.0,1985.0,1997.0,0
1990-07-25,1998.0,1998.0,2006.0,1995.0,2005.0,0
1990-07-26,1984.0,1984.0,2005.0,1981.0,2001.0,0
1990-07-27,1965.0,1965.0,1973.0,1956.0,1973.0,0
1990-07-30,1955.0,1955.0,1961.0,1945.0,1959.0,0
1990-07-31,1965.0,1965.0,1971.0,1955.0,1967.0,0
1990-08-01,1960.0,1960.0,1966.0,1953.0,1959.0,0
1990-08-02,1916.0,1916.0,1960.0,1897.0,1949.0,0
1990-08-03,1869.0,1869.0,1912.0,1861.0,1906.0,0
1990-08-06,1774.0,1774.0,1833.0,1737.0,1826.0,0
1990-08-07,1812.0,1812.0,1816.0,1755.0,1757.0,0
1990-08-08,1757.0,1757.0,1805.0,1725.0,1805.0,0
1990-08-09,1780.0,1780.0,1784.0,1765.0,1774.0,0
1990-08-10,1778.0,1778.0,1796.0,1770.0,1791.0,0
1990-08-13,1721.0,1721.0,1740.0,1706.0,1737.0,0
1990-08-14,1712.0,1712.0,1744.0,1704.0,1736.0,0
1990-08-16,1723.0,1723.0,1733.0,1712.0,1725.0,0
1990-08-17,1665.0,1665.0,1683.0,1650.0,1679.0,0
1990-08-20,1611.0,1611.0,1644.0,1587.0,1642.0,0
1990-08-21,1546.0,1546.0,1617.0,1526.0,1615.0,0
1990-08-22,1586.0,1586.0,1592.0,1507.0,1510.0,0
1990-08-23,1553.0,1553.0,1553.0,1519.0,1540.0,0
1990-08-24,1617.0,1617.0,1621.0,1575.0,1585.0,0
1990-08-27,1700.0,1700.0,1703.0,1669.0,1693.0,0
1990-08-28,1680.0,1680.0,1705.0,1665.0,1705.0,0
1990-08-29,1698.0,1698.0,1703.0,1651.0,1671.0,0
1990-08-30,1723.0,1723.0,1747.0,1716.0,1717.0,0
1990-08-31,1690.0,1690.0,1716.0,1682.0,1716.0,0
1990-09-03,1644.0,1644.0,1669.0,1637.0,1668.0,0
1990-09-04,1621.0,1621.0,1621.0,1592.0,1616.0,0
1990-09-05,1638.0,1638.0,1639.0,1611.0,1632.0,0
1990-09-06,1609.0,1609.0,1631.0,1606.0,1631.0,0
1990-09-07,1619.0,1619.0,1619.0,1591.0,1591.0,0
1990-09-10,1662.0,1662.0,1687.0,1659.0,1675.0,0
1990-09-11,1654.0,1654.0,1655.0,1641.0,1645.0,0
1990-09-12,1648.0,1648.0,1687.0,1639.0,1672.0,0
1990-09-13,1646.0,1646.0,1662.0,1624.0,1662.0,0
1990-09-14,1615.0,1615.0,1630.0,1603.0,1623.0,0
1990-09-17,1604.0,1604.0,1605.0,1590.0,1596.0,0
1990-09-18,1580.0,1580.0,1595.0,1571.0,1593.0,0
1990-09-19,1570.0,1570.0,1586.0,1560.0,1586.0,0
1990-09-20,1540.0,1540.0,1571.0,1537.0,1570.0,0
1990-09-21,1543.0,1543.0,1543.0,1502.0,1523.0,0
1990-09-24,1503.0,1503.0,1538.0,1490.0,1526.0,0
1990-09-25,1485.0,1485.0,1517.0,1473.0,1503.0,0
1990-09-26,1499.0,1499.0,1515.0,1472.0,1483.0,0
1990-09-27,1524.0,1524.0,1531.0,1498.0,1501.0,0
1990-09-28,1499.0,1499.0,1515.0,1472.0,1483.0,0
1990-10-01,1541.0,1541.0,1543.0,1513.0,1515.0,0
1990-10-02,1573.0,1573.0,1593.0,1568.0,1592.0,0
1990-10-03,1567.0,1567.0,1568.0,1555.0,1560.0,0
1990-10-04,1553.0,1553.0,1561.0,1542.0,1558.0,0
1990-10-05,1552.0,1552.0,1556.0,1511.0,1539.0,0
1990-10-08,1586.0,1586.0,1598.0,1576.0,1577.0,0
1990-10-09,1551.0,1551.0,1575.0,1547.0,1575.0,0
1990-10-10,1540.0,1540.0,1544.0,1518.0,1539.0,0
1990-10-11,1542.0,1542.0,1552.0,1530.0,1542.0,0
1990-10-12,1575.0,1575.0,1582.0,1541.0,1543.0,0
1990-10-15,1599.0,1599.0,1613.0,1584.0,1600.0,0
1990-10-16,1602.0,1602.0,1612.0,1592.0,1608.0,0
1990-10-17,1616.0,1616.0,1617.0,1588.0,1606.0,0
1990-10-18,1647.0,1647.0,1647.0,1611.0,1620.0,0
1990-10-19,1644.0,1644.0,1650.0,1638.0,1650.0,0
1990-10-22,1640.0,1640.0,1644.0,1632.0,1643.0,0
1990-10-23,1676.0,1676.0,1678.0,1643.0,1644.0,0
1990-10-24,1667.0,1667.0,1682.0,1657.0,1680.0,0
1990-10-25,1646.0,1646.0,1672.0,1643.0,1671.0,0
1990-10-26,1618.0,1618.0,1626.0,1609.0,1626.0,0
1990-10-29,1628.0,1628.0,1630.0,1607.0,1609.0,0
1990-10-30,1613.0,1613.0,1615.0,1601.0,1615.0,0
1990-10-31,1645.0,1645.0,1649.0,1609.0,1615.0,0
1990-11-02,1639.0,1639.0,1639.0,1626.0,1630.0,0
1990-11-05,1620.0,1620.0,1632.0,1618.0,1632.0,0
1990-11-06,1613.0,1613.0,1621.0,1609.0,1620.0,0
1990-11-07,1583.0,1583.0,1604.0,1578.0,1603.0,0
1990-11-08,1570.0,1570.0,1570.0,1549.0,1553.0,0
1990-11-09,1573.0,1573.0,1579.0,1558.0,1558.0,0
1990-11-12,1597.0,1597.0,1599.0,1576.0,1576.0,0
1990-11-13,1610.0,1610.0,1628.0,1603.0,1616.0,0
1990-11-14,1599.0,1599.0,1601.0,1589.0,1597.0,0
1990-11-15,1598.0,1598.0,1602.0,1587.0,1588.0,0
1990-11-16,1612.0,1612.0,1612.0,1587.0,1589.0,0
1990-11-19,1633.0,1633.0,1646.0,1616.0,1622.0,0
1990-11-20,1633.0,1633.0,1649.0,1628.0,1646.0,0
1990-11-21,1627.0,1627.0,1634.0,1613.0,1620.0,0
1990-11-22,1639.0,1639.0,1647.0,1634.0,1636.0,0
1990-11-23,1640.0,1640.0,1654.0,1636.0,1654.0,0
1990-11-26,1607.0,1607.0,1648.0,1597.0,1648.0,0
1990-11-27,1606.0,1606.0,1613.0,1593.0,1601.0,0
1990-11-28,1601.0,1601.0,1606.0,1589.0,1594.0,0
1990-11-29,1607.0,1607.0,1607.0,1591.0,1592.0,0
